Country,No. of Arrivals,Length of Stay,Per Capita Spending Baht,Per Capita Spending USD,Tourism Receipts Mil. Baht,Tourism Receipts Mil. USD,Country By GROUP TOUR,No. of Arrivals By GROUP TOUR,Length of Stay By GROUP TOUR,Per Capita Spending Baht By GROUP TOUR,Per Capita Spending USD By GROUP TOUR,Tourism Receipts Mil. Baht By GROUP TOUR,Tourism Receipts Mil. USD By GROUP TOUR,Country By NON GROUP TOUR,No. of Arrivals By NON GROUP TOUR,Length of Stay By NON GROUP TOUR,Per Capita Spending Baht By NON GROUP TOUR,Per Capita Spending USD By NON GROUP TOUR,Tourism Receipts Mil. Baht By NON GROUP TOUR,Tourism Receipts Mil. USD By NON GROUP TOUR,,,
Sri Lanka,62697,7.36,6024.29,186.45,2779.91,86.04,Sri Lanka,18916,5.30,6104.35,188.93,611.99,18.94,Sri Lanka,43781,8.25,6002.12,185.77,2167.92,67.10,,,
Others in South Asia,50761,9.35,6751.87,208.97,3204.54,99.18,Others in South Asia,9892,8.67,6479.67,200.55,555.72,17.20,Others in South Asia,40869,9.51,6815.20,210.93,2648.82,81.98,,,
Oceania,911038,13.38,5538.50,171.42,67512.64,2089.53,Oceania,68151,11.23,5812.73,179.90,4448.69,137.69,Oceania,842887,13.56,5517.64,170.77,63063.95,1951.84,,,
Australia,802234,13.43,5592.75,173.10,60256.29,1864.94,Australia,58618,11.21,5760.58,178.29,3785.33,117.16,Australia,743616,13.60,5583.90,172.82,56470.96,1747.79,,,
New Zealand,100887,13.17,5069.65,156.91,6735.95,208.48,New Zealand,8978,11.31,6098.40,188.75,619.24,19.17,New Zealand,91909,13.35,4985.16,154.29,6116.71,189.31,,,
Others  in Ociania,7917,11.56,5686.16,175.99,520.40,16.11,Others  in Ociania,555,12.63,6294.18,194.81,44.12,1.37,Others  in Ociania,7362,11.48,5635.39,174.42,476.28,14.74,,,
Middle East,767796,12.89,6243.92,193.25,61795.44,1912.58,Middle East,123198,9.90,6365.20,197.00,7763.38,240.28,Middle East,644598,13.46,6227.55,192.74,54032.06,1672.30,,,
Egypt,18161,11.28,7072.88,218.91,1448.92,44.84,Egypt,2555,8.53,7692.90,238.10,167.66,5.19,Egypt,15606,11.73,6999.20,216.63,1281.26,39.66,,,
Israel,185366,17.35,5218.09,161.50,16781.90,519.40,Israel,14982,13.10,6813.26,210.87,1337.20,41.39,Israel,170384,17.72,5115.49,158.33,15444.70,478.02,,,
Kuwait,77365,13.14,7254.92,224.54,7375.19,228.26,Kuwait,9314,9.95,7386.73,228.62,684.56,21.19,Kuwait,68051,13.58,7239.89,224.08,6690.63,207.08,,,
Saudi Arabia,35090,12.55,7406.64,229.24,3261.73,100.95,Saudi Arabia,4755,11.78,7811.10,241.75,437.53,13.54,Saudi Arabia,30335,12.67,7348.09,227.42,2824.20,87.41,,,
U.A.E.,151137,10.61,7109.62,220.04,11400.73,352.85,U.A.E.,21763,9.25,7166.83,221.81,1442.74,44.65,U.A.E.,129374,10.84,7100.60,219.76,9957.99,308.20,,,
Others in Middle East,300677,11.35,6307.93,195.23,21526.97,666.26,Others in Middle East,69829,9.33,5669.47,175.47,3693.69,114.32,Others in Middle East,230848,11.96,6459.13,199.91,17833.28,551.94,,,
Africa,200328,12.70,5686.13,175.99,14466.45,447.74,Africa,31436,10.34,6107.55,189.03,1985.25,61.44,Africa,168892,13.14,5624.10,174.07,12481.20,386.30,,,
South  Africa,97071,13.55,4951.01,153.23,6512.09,201.55,South  Africa,13475,10.61,5423.74,167.87,775.43,24.00,South  Africa,83596,14.03,4891.21,151.38,5736.66,177.55,,,
Others in Africa,103257,11.90,6473.49,200.36,7954.36,246.19,Others in Africa,17961,10.14,6642.82,205.60,1209.82,37.44,Others in Africa,85296,12.27,6444.36,199.45,6744.54,208.74,,,
