Country,No. of Arrivals,Length of Stay,Per Capita Spending,USD,Tourism Receipts Mil. Baht,Tourism Receipts Mil. USD,Country By GROUP TOUR,No. of Arrivals By GROUP TOUR,Length of Stay By GROUP TOUR,Per Capita Spending Baht By GROUP TOUR,Per Capita Spending USD By GROUP TOUR,Tourism Receipts Mil. Baht By GROUP TOUR,Tourism Receipts Mil. USD By GROUP TOUR,Country By NON GROUP TOUR,No. of Arrivals By NON GROUP TOUR,Length of Stay By NON GROUP TOUR,m,Per Capita Spending USD By NON GROUP TOUR,Tourism Receipts Mil. Baht By NON GROUP TOUR,Tourism Receipts Mil. USD By NON GROUP TOUR
South Asia,2356977,7.68,"5,533.66",178.22,100168.16,3226.03,South Asia,657716,5.94,5276.12,169.92,20612.87,663.86,South Asia,1699261,8.35,5606.88,180.58,79555.29,2562.17
Bangladesh,139622,8.32,"5,793.54",186.59,6730.08,216.75,Bangladesh,29117,6.63,5254.81,169.24,1014.42,32.67,Bangladesh,110505,8.77,5897.73,189.94,5715.66,184.08
India,1961069,7.43,"5,493.20",176.91,80039.88,2577.77,India,561710,5.82,5212.49,167.87,17040.40,548.81,India,1399359,8.07,5578.73,179.67,62999.48,2028.97
Nepal,60428,9.52,"5,161.34",166.23,2969.18,95.63,Nepal,21072,5.97,5260.89,169.43,661.82,21.31,Nepal,39356,11.42,5133.80,165.34,2307.36,74.31
Pakistan,71917,10.71,"5,736.11",184.74,4418.12,142.29,Pakistan,15750,7.61,5602.47,180.43,671.50,21.63,Pakistan,56167,11.58,5760.37,185.52,3746.62,120.66
Sri Lanka,70247,7.16,"5,594.88",180.19,2814.05,90.63,Sri Lanka,19654,5.18,5847.30,188.32,595.30,19.17,Sri Lanka,50593,7.92,5537.24,178.33,2218.75,71.46
Others in South Asia,53694,9.65,"6,169.76",198.7,3196.85,102.96,Others in South Asia,10413,9.24,6541.83,210.69,629.43,20.27,Others in South Asia,43281,9.74,6090.32,196.15,2567.42,82.69
Oceania,874154,13.19,"5,368.45",172.9,61898.66,1993.52,Oceania,76242,10.9,5434.17,175.01,4516.01,145.44,Oceania,797912,13.4,5366.87,172.85,57382.65,1848.07
Australia,771798,13.29,"5,401.34",173.96,55402.66,1784.30,Australia,64752,11,5348.13,172.24,3809.32,122.68,Australia,707046,13.5,5405.20,174.08,51593.34,1661.62
New Zealand,93740,12.58,"5,067.75",163.21,5976.15,192.47,New Zealand,10547,10.26,5928.63,190.94,641.55,20.66,New Zealand,83193,12.88,4978.51,160.34,5334.60,171.81
Others  in Ociania,8616,10.57,"5,708.18",183.84,519.85,16.74,Others  in Ociania,943,10.72,6443.80,207.53,65.14,2.10,Others  in Ociania,7673,10.56,5611.85,180.74,454.71,14.64
Middle East,727318,12.9,"6,115.83",196.97,57381.19,1848.03,Middle East,132203,10.02,6291.48,202.62,8334.16,268.41,Middle East,595115,13.54,6086.85,196.03,49047.03,1579.61
Egypt,19010,11.31,"6,893.43",222.01,1482.11,47.73,Egypt,3776,8.41,7419.67,238.96,235.62,7.59,Egypt,15234,12.03,6801.57,219.05,1246.49,40.14
Israel,194081,15.96,"5,194.67",167.3,16090.66,518.22,Israel,21631,12.51,6737.01,216.97,1823.06,58.71,Israel,172450,16.4,5044.80,162.47,14267.60,459.50
Kuwait,84504,13.05,"6,960.06",224.16,7675.40,247.19,Kuwait,12424,9.38,6917.53,222.79,806.15,25.96,Kuwait,72080,13.68,6966.40,224.36,6869.25,221.23
Saudi Arabia,36783,12.83,"6,823.42",219.76,3220.15,103.71,Saudi Arabia,7081,11.5,7869.19,253.44,640.80,20.64,Saudi Arabia,29702,13.15,6603.88,212.69,2579.35,83.07
U.A.E.,145530,11.14,"6,832.67",220.05,11077.15,356.75,U.A.E.,24857,9.68,6929.02,223.16,1667.23,53.70,U.A.E.,120673,11.44,6816.32,219.53,9409.92,303.06
Others in Middle East,247410,11.62,"6,203.94",199.8,17835.72,574.42,Others in Middle East,62434,9.35,5415.41,174.41,3161.30,101.81,Others in Middle East,184976,12.39,6402.87,206.21,14674.42,472.61
Africa,196819,12.22,"5,531.79",178.16,13304.65,428.49,Africa,40273,9.87,5946.07,191.5,2363.53,76.12,Africa,156546,12.83,5447.45,175.44,10941.12,352.37
South  Africa,89750,13.01,"4,907.78",158.06,5730.55,184.56,South  Africa,15515,10.04,5230.77,168.46,814.80,26.24,South  Africa,74235,13.63,4858.30,156.47,4915.75,158.32
Others in Africa,107069,11.56,"6,119.41",197.08,7574.10,243.93,Others in Africa,24758,9.77,6402.73,206.21,1548.73,49.88,Others in Africa,82311,12.1,6049.77,194.84,6025.37,194.05
